"Área de Ponderação","Cód. UF","UF","Cod_meso","Mesorregião","Cód. Microrregião","Microrregião","Cód_RM","Região Metropolitana","Cód. Município","Município","Domicílios particulares permanentes-DPP","DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","DPP com lixo coletado em caçamba de serviço de limpeza","DPP com lixo queimado na propriedade","DPP com lixo enterrado na propriedade","DPP com lixo jogado em terreno baldio ou logradouro","DPP com lixo jogado em rio, lago ou mar","DPP SEM energia elétrica","DPP do tipo casa próprios e em aquisição","DPP do tipo casa alugados","DPP do tipo casa cedidos por empregador","DPP com outra forma de destino do lixo e outra forma de abastecimento de água","Moradores em DPP próprios e em aquisição","Moradores em DPP alugados","Moradores em DPP cedidos por empregador","Moradores em DPP com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Moradores em DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","Moradores em DPP SEM energia elétrica","Pessoas responsáveis, do sexo feminino","Pessoas responsáveis, do sexo masculino","Pessoas Residentes","Pessoas Residentes e cor ou raça - branca","Pessoas Residentes e cor ou raça - preta","Pessoas Residentes e cor ou raça - amarela","Pessoas Residentes e cor ou raça - parda","Pessoas Residentes e cor ou raça - indígena","Pessoas residentes em  DPP","Responsáveis pelos domicílios particulares","Cônjuges ou companheiros(as) em domi. partic.","Filhos(as) do responsável e do cônjuge em domi. partic.","Filhos(as) somente do responsável em domi. partic.","Enteados(as) em domi. partic.","Genros ou noras em domi. partic.","Pais, mães, padrastos ou madrastas em domi. partic.","Sogros (as) em domi. partic.","Netos(as) em domi. partic.","Bisnetos(as) em domi. partic.","Irmãos ou irmãs em domi. partic.","Avôs ou avós em domi. partic.","Outros parentes em domi. partic.","Agregados(as) em  domi. partic.","Conviventes em domi. partic.","Total de domicílios particulares improvisados","Total do rendimento nominal mensal dos domi. partic.","Total do rendimento nominal mensal dos domi. partic. improvisados","Domicílios particulares sem rendimento nominal mensal domiciliar per capita","DPP alugados – Não existe iluminação pública","DPP alugados – Não existe pavimentação","DPP próprios – Existe esgoto a céu aberto","DPP alugados – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Não existe iluminação pública","DPP que não tinham banheiro ou sanitário – Não existe pavimentação","DPP que não tinham banheiro ou sanitário – Não existe calçada","DPP que não tinham banheiro ou sanitário – Não existe meio-fio/guia","DPP que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo","DPP que não tinham banheiro ou sanitário – Não existe rampa para cadeirante","DPP que não tinham banheiro ou sanitário – Não existe arborização","DPP que não tinham banheiro ou sanitário – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros","DPP com moradia adequada – Existe identificação do logradouro","DPP com moradia adequada – Não existe identificação do logradouro","DPP com moradia semi-adequada – Existe identificação do logradouro","DPP com moradia semi-adequada – Não existe identificação do logradouro","DPP com moradia inadequada –  Existe identificação do logradouro","DPP com moradia inadequada – Não existe identificação do logradouro","Moradia Adequada_V202eV203","Moradia Semi-Adequada_V204eV205","Moradia Inadequada_V206eV207","DOMICILIOS PRECARIOS","COABITACAO","ONUS EXCESSIVO","ADENSAMENTO","DEFICIT TOTAL"
"3550308005066","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","11754","1","45","1","0","1","1","2","260","2728","32","0","1478","10940","160","123","1","6","5166","6592","35694","27915","1557","1031","5152","27","35500","11758","6700","7017","4053","319","401","1052","169","1373","44","1035","44","1082","81","299","8","43912192","10280","459","3","6","50","27","0","0","0","0","0","1","0","0","0","11160","20","569","1","0","0","11180","570","0","13","878","645","116","1652"
"3550308005067","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","14527","3","255","2","0","0","0","5","223","4436","29","0","1235","16275","110","227","6","11","6960","7567","46467","32249","2796","734","10607","80","46417","14527","8408","9975","5305","417","535","1322","236","2063","69","1507","89","1429","172","302","0","38676395","0","733","24","19","512","248","0","0","0","0","3","3","1","0","0","12669","219","1213","14","0","0","12888","1227","0","25","1055","932","483","2494"
"3550308005068","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10526","2","375","0","0","0","1","3","82","2975","21","1","666","10334","86","79","2","21","5117","5400","34191","21969","2296","423","9362","45","34073","10507","6196","7324","4117","264","370","1038","178","1584","52","1083","44","1008","115","172","5","25439265","8995","755","6","6","37","20","0","0","0","0","0","2","0","0","0","9529","445","288","3","1","0","9974","291","1","69","903","740","241","1952"
"3550308005069","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","14852","5","3","0","0","0","1","7","134","4661","37","0","550","16975","127","537","13","32","7134","7725","49261","29531","3829","513","15308","80","49250","14859","8607","10061","6621","458","569","1287","175","2433","79","1614","75","1774","137","466","7","29853884","8684","763","69","39","0","0","0","0","0","0","2","4","2","0","0","12964","1159","324","12","0","0","14123","336","0","60","1602","1456","447","3565"
"3550308005070","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","15925","2","353","7","0","10","4","1","436","3776","58","1","4504","13955","252","128","5","6","7301","8638","52359","36351","3398","768","11802","40","51917","15939","9416","10829","6268","514","676","1519","265","2428","82","1773","58","1647","150","305","14","44656249","17695","1023","46","4","200","63","0","0","0","1","1","2","1","0","0","14304","797","586","83","1","0","15101","669","1","83","1536","706","302","2626"
"3550308005071","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10643","3","776","0","0","1","0","1","146","2505","54","0","3019","10045","233","1093","10","6","4667","5985","33298","23637","1479","503","7649","30","33160","10650","6088","6721","3887","373","360","921","157","1226","37","1073","41","1060","139","383","7","31693641","15824","635","19","0","290","5","0","0","0","0","2","2","1","0","0","9747","317","383","31","0","0","10064","414","0","186","753","749","62","1749"
"3550308005072","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","9201","8","469","3","0","0","0","8","113","2228","17","2","1267","7910","60","58","26","26","4072","5118","30678","18596","2076","334","9493","95","30572","9174","5710","6997","3471","308","268","880","153","1165","38","1011","29","1032","59","261","3","20179133","1560","616","23","172","1247","422","0","0","1","1","0","4","3","2","0","6860","545","989","455","1","0","7405","1444","1","0","687","515","260","1461"
"3550308005073","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","8460","0","139","0","0","0","0","2","137","1676","32","0","2256","6385","113","93","0","12","3971","4493","27020","18315","1940","371","6355","39","26986","8464","5210","6018","3042","220","261","739","136","1116","38","735","49","700","78","166","4","23854300","1510","317","20","1","132","41","0","0","0","0","0","0","0","0","0","7338","915","156","43","0","0","8253","199","0","0","628","361","148","1137"
"3550308005074","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","13366","7","223","1","0","0","0","2","243","2990","40","0","2311","10772","176","85","21","7","5562","7811","39714","31125","1879","808","5854","48","39571","13373","7935","8382","4093","309","359","1138","222","1421","38","980","50","911","122","212","7","45496171","10910","524","2","1","15","5","0","0","0","0","5","7","2","0","0","12966","320","70","4","0","0","13286","74","0","0","663","704","169","1535"
"3550308005075","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","9176","3","4","2","0","0","0","3","203","2143","36","1","1822","7383","154","59","7","3","3902","5281","28172","21082","1613","964","4490","23","28033","9183","5468","6151","3044","267","278","776","163","1057","44","680","24","681","56","148","7","31498511","8730","383","18","11","4","0","0","0","0","0","2","3","0","0","0","8900","237","37","1","1","0","9137","38","1","41","560","571","174","1347"
