COD_MUNICIPIO,NOME_MUNICIPIO,Soma_V002.x,Soma_V023.x,Soma_V037,Soma_V038,Soma_V039,Soma_V040,Soma_V041.x,Soma_V046,Soma_V101,Soma_V102,Soma_V103,Soma_V233,Soma_V007.x,Soma_V008.x,Soma_V009.x,Soma_V011.x,Soma_V023.y,Soma_V041.y,Soma_V001.x,Soma_V109,Soma_V001.y,Soma_V002.y,Soma_V003.x,Soma_V004.x,Soma_V005.x,Soma_V006.x,Soma_V002.x.x,Soma_V003.y,Soma_V004.y,Soma_V005.y,Soma_V006.y,Soma_V007.y,Soma_V008.y,Soma_V009.y,Soma_V010,Soma_V011.y,Soma_V012,Soma_V013,Soma_V014.x,Soma_V015,Soma_V016,Soma_V017.x,Soma_V001,Soma_V002.y.y,Soma_V004,Soma_V014.y,Soma_V011,Soma_V017.y,Soma_V050,Soma_V052,Soma_V113,Soma_V119,Soma_V125,Soma_V131,Soma_V137,Soma_V143,Soma_V149,Soma_V154,Soma_V160,Soma_V202,Soma_V203,Soma_V204,Soma_V205,Soma_V206,Soma_V207,Soma_soma_V202eV203,Soma_soma_V204eV205,Soma_soma_V206eV207,DEFICIT_TOTAL
3145208,NOVA SERRANA,20617,17,363,43,0,5,1,60,1464,5982,38,11,5219,26665,157,126,41,184,7335,13396,69695,29755,4299,1099,34506,36,69346,20727,13997,17355,6830,1066,390,786,162,1632,21,2284,11,2125,207,1884,110,42137402,139671,280,107,242,83,52,3,6,12,6,17,17,7,1,0,7730,11232,550,1023,2,28,18962,1573,30,2561.0
3147006,PARACATU,20577,92,646,100,2,8,2,57,648,3581,137,14,2153,12829,493,114,263,175,7943,12673,73772,19254,11414,876,42114,93,73500,20611,13216,19563,9923,1378,544,793,162,3821,72,1543,32,1364,136,393,40,41991269,44949,474,24,120,245,44,0,7,61,12,70,92,64,3,9,7790,9179,999,2547,4,31,16969,3546,35,2472.0
3147105,PARÁ DE MINAS,24189,16,9,64,6,5,0,19,1904,4151,116,18,6365,14388,417,191,45,37,8600,15585,79599,43960,4707,821,29962,37,79325,24180,15425,21223,9568,1106,480,1014,171,2750,37,1720,30,1212,99,298,22,49371564,24453,318,33,65,92,20,0,2,4,1,13,16,5,0,0,14626,8335,333,591,0,25,22961,924,25,2553.0
3147907,PASSOS,31601,17,1021,49,0,14,0,31,1887,6604,132,10,6517,23518,429,234,35,85,10803,20802,100842,62914,8928,579,28280,71,100335,31594,20200,25479,10461,1342,698,1456,348,4277,106,1900,64,1747,181,477,21,71348311,26470,619,37,272,416,95,0,2,5,2,14,15,4,1,1,27242,3923,132,122,1,12,31165,254,13,3375.0
3148004,PATOS DE MINAS,41828,28,128,192,2,12,1,32,3309,8381,150,10,11549,28616,540,430,56,61,15230,26569,127724,74972,5367,1147,45606,65,126885,41715,26504,31585,13506,1654,732,1613,380,4261,92,2222,50,1725,136,663,48,92859118,55855,996,32,90,32,15,3,5,7,5,25,28,9,0,0,30247,9410,583,354,2,11,39657,937,13,4470.0
3148103,PATROCÍNIO,22306,22,571,154,20,21,1,35,2234,4955,176,53,7946,16676,610,154,46,86,7567,14755,72758,42875,5700,662,23436,43,72130,22320,14788,18959,7464,1249,429,936,192,2721,62,1322,30,1159,96,415,25,44518472,21999,452,15,87,165,54,0,4,6,3,17,22,4,0,1,9908,10723,534,958,1,32,20631,1492,33,2331.0
3149309,PEDRO LEOPOLDO,14944,11,111,100,2,36,1,14,879,2080,91,13,3663,7737,296,143,18,32,5312,9666,49953,15563,4486,404,29439,61,49762,14978,9646,12581,6264,744,453,599,150,2323,52,940,17,853,111,117,34,32582582,28378,252,13,85,9,0,0,2,1,1,9,11,1,0,0,6596,3337,1863,2686,6,9,9933,4549,15,1789.0
3151800,POÇOS DE CALDAS,49390,17,242,29,1,7,0,19,2553,11709,270,9,11246,45124,929,161,57,57,18831,30589,148722,105519,9699,853,32413,222,148182,49408,31232,34125,15124,1906,1058,2602,528,5792,122,2706,99,2111,342,927,23,120423231,22085,1395,24,48,36,14,0,0,4,0,7,17,5,0,0,43691,4967,474,196,2,9,48658,670,11,6073.0
3152105,PONTE NOVA,16007,27,462,113,2,27,0,68,389,2886,78,7,1878,12207,301,251,68,134,6158,9542,51185,18961,7550,533,22706,50,49663,15551,9553,11533,6259,734,456,561,164,2581,66,901,18,926,79,232,11,30636389,10020,255,25,118,55,13,3,4,10,4,18,27,8,3,1,9437,4560,699,804,2,22,13997,1503,24,2112.0
3152501,POUSO ALEGRE,37038,24,1013,42,0,80,1,39,2890,8312,128,8,9771,29808,513,246,60,105,13118,23978,119590,88321,6174,711,24265,119,118760,37088,24317,30176,11758,1650,1179,1497,377,4758,123,2099,54,2184,154,1296,50,94471337,67303,550,53,362,431,145,0,6,5,4,21,24,16,3,4,24043,11615,605,703,3,8,35658,1308,11,4610.0
3154606,RIBEIRÃO DAS NEVES,84496,102,3643,1550,26,879,98,172,5801,10312,488,176,24094,35132,1754,1049,261,549,31998,52577,294153,78135,40429,5182,169723,677,289691,84569,55628,75648,37678,4987,2280,4122,737,11227,219,5819,172,5404,725,622,76,117824851,86226,3105,116,2654,9626,1380,4,37,56,38,78,93,25,22,10,29795,27979,7958,12933,63,151,57774,20891,214,8370.0
3156700,SABARÁ,35503,89,1664,957,15,244,50,89,343,3852,82,136,2486,13858,254,352,207,256,14621,20881,123084,34471,19104,1991,67325,126,122825,35494,22042,31265,17131,1745,1162,1635,269,6008,160,2779,82,2390,370,276,11,64475153,16155,1351,65,503,1095,115,5,30,57,35,66,84,25,1,4,20722,9309,2109,1974,33,83,30031,4083,116,3925.0
