COD_MICRO,NOME_MICRO,Soma_V002.x,Soma_V023.x,Soma_V037,Soma_V038,Soma_V039,Soma_V040,Soma_V041.x,Soma_V046,Soma_V101,Soma_V102,Soma_V103,Soma_V233,Soma_V007.x,Soma_V008.x,Soma_V009.x,Soma_V011.x,Soma_V023.y,Soma_V041.y,Soma_V001.x,Soma_V109,Soma_V001.y,Soma_V002.y,Soma_V003.x,Soma_V004.x,Soma_V005.x,Soma_V006.x,Soma_V002.x.x,Soma_V003.y,Soma_V004.y,Soma_V005.y,Soma_V006.y,Soma_V007.y,Soma_V008.y,Soma_V009.y,Soma_V010,Soma_V011.y,Soma_V012,Soma_V013,Soma_V014.x,Soma_V015,Soma_V016,Soma_V017.x,Soma_V001,Soma_V002.y.y,Soma_V004,Soma_V014.y,Soma_V011,Soma_V017.y,Soma_V050,Soma_V052,Soma_V113,Soma_V119,Soma_V125,Soma_V131,Soma_V137,Soma_V143,Soma_V149,Soma_V154,Soma_V160,Soma_V202,Soma_V203,Soma_V204,Soma_V205,Soma_V206,Soma_V207,Soma_soma_V202eV203,Soma_soma_V204eV205,Soma_soma_V206eV207,DEFICIT_TOTAL
31025,Curvelo,1218.5555555555557,11.222222222222221,60.111111111111114,62.55555555555556,1.4444444444444444,6.444444444444445,0.0,6.111111111111111,29.444444444444443,174.11111111111111,5.222222222222222,4.444444444444445,97.11111111111111,550.4444444444445,14.777777777777779,14.777777777777779,31.77777777777778,15.88888888888889,483.44444444444446,738.1111111111111,3989.1111111111113,884.6666666666666,359.22222222222223,42.666666666666664,2697.3333333333335,2.4444444444444446,3962.4444444444443,1220.7777777777778,707.6666666666666,955.8888888888889,547.2222222222222,75.0,24.0,40.333333333333336,7.222222222222222,195.33333333333334,4.666666666666667,85.88888888888889,2.2222222222222223,64.77777777777777,8.11111111111111,25.444444444444443,3.111111111111111,1515292.4444444445,3114.8888888888887,35.55555555555556,2.888888888888889,52.77777777777778,40.333333333333336,8.88888888888889,0.6666666666666666,4.222222222222222,7.777777777777778,4.777777777777778,10.0,10.666666666666666,3.888888888888889,0.6666666666666666,0.3333333333333333,229.11111111111111,185.55555555555554,375.1111111111111,416.44444444444446,0.5555555555555556,3.0,414.6666666666667,791.5555555555555,3.5555555555555554,1258.0
31026,Bom Despacho,3427.8571428571427,4.571428571428571,60.785714285714285,42.214285714285715,0.9285714285714286,4.142857142857143,0.07142857142857142,4.571428571428571,216.21428571428572,601.1428571428571,12.571428571428571,2.4285714285714284,740.8571428571429,2005.5714285714287,38.92857142857143,31.928571428571427,9.285714285714286,9.0,1258.4285714285713,2180.285714285714,10775.57142857143,6076.428571428572,726.1428571428571,65.64285714285714,3895.1428571428573,10.785714285714286,10704.357142857143,3437.5714285714284,2190.0,2779.6428571428573,1170.5,156.78571428571428,54.857142857142854,110.85714285714286,21.428571428571427,420.64285714285717,10.0,173.21428571428572,2.2857142857142856,140.5,10.214285714285714,39.42857142857143,10.142857142857142,6577309.571428572,11014.07142857143,62.285714285714285,4.571428571428571,63.42857142857143,38.214285714285715,7.142857142857143,0.0,1.0714285714285714,1.8571428571428572,1.0,4.071428571428571,4.5,0.9285714285714286,0.14285714285714285,0.35714285714285715,1357.857142857143,1687.5714285714287,117.71428571428571,228.42857142857142,0.8571428571428571,9.0,3045.4285714285716,346.14285714285717,9.857142857142858,4504.0
31027,Sete Lagoas,3285.8,9.733333333333333,44.93333333333333,56.0,0.7,6.066666666666666,0.3,8.333333333333334,168.53333333333333,518.7333333333333,18.066666666666666,9.5,627.1,1702.4333333333334,55.03333333333333,45.9,25.666666666666668,22.733333333333334,1265.2666666666667,2024.8,11121.466666666667,3549.8,1016.3666666666667,138.76666666666668,6390.066666666667,11.666666666666666,11073.466666666667,3288.133333333333,2044.5,2807.7,1451.3,159.73333333333332,97.86666666666666,128.26666666666668,25.666666666666668,527.8333333333334,11.033333333333333,245.43333333333334,4.766666666666667,212.83333333333334,19.166666666666668,49.03333333333333,4.766666666666667,6596783.666666667,4440.366666666667,66.76666666666667,5.633333333333334,41.1,23.1,3.7,0.4666666666666667,2.5,4.1,3.7666666666666666,8.9,9.666666666666666,3.033333333333333,0.1,0.6666666666666666,1646.7666666666667,1102.7333333333333,290.43333333333334,221.4,4.666666666666667,7.366666666666666,2749.5,511.8333333333333,12.033333333333333,11483.0
31028,Conceição do Mato Dentro,853.9090909090909,6.090909090909091,90.54545454545455,117.9090909090909,1.8181818181818181,6.909090909090909,0.5454545454545454,9.636363636363637,6.2727272727272725,103.36363636363636,4.181818181818182,14.818181818181818,20.181818181818183,313.8181818181818,12.0,11.909090909090908,16.636363636363637,27.636363636363637,362.1818181818182,493.45454545454544,2904.818181818182,573.6363636363636,318.8181818181818,42.54545454545455,1968.1818181818182,1.6363636363636365,2891.3636363636365,855.0,483.90909090909093,745.6363636363636,437.0,32.0,20.545454545454547,24.363636363636363,5.363636363636363,141.36363636363637,4.0,56.27272727272727,0.9090909090909091,48.18181818181818,7.181818181818182,21.545454545454547,1.0909090909090908,1073290.1818181819,1453.8181818181818,39.90909090909091,5.0,19.363636363636363,21.272727272727273,2.272727272727273,1.0909090909090908,2.909090909090909,5.909090909090909,3.3636363636363638,5.454545454545454,6.090909090909091,4.818181818181818,0.18181818181818182,0.0,287.72727272727275,216.45454545454547,146.72727272727272,187.36363636363637,6.7272727272727275,8.0,504.1818181818182,334.09090909090907,14.727272727272727,844.0
31029,Pará de Minas,4235.5,2.875,51.875,19.75,1.0,1.375,0.125,3.75,280.875,729.75,24.125,5.0,947.5,2510.5,85.0,41.875,8.375,8.0,1514.0,2721.125,13952.25,7555.25,961.125,135.375,5275.625,7.5,13888.375,4234.375,2687.25,3689.875,1709.25,194.875,83.25,160.625,30.375,516.375,8.25,291.875,5.375,206.125,17.875,52.25,3.875,8448105.875,3822.625,68.875,11.125,22.75,35.25,8.125,0.0,0.375,1.0,0.25,2.375,2.875,0.875,0.0,0.125,2432.75,1464.125,162.625,132.375,0.625,5.75,3896.875,295.0,6.375,3534.0
31030,Belo Horizonte,7721.682926829269,7.152439024390244,153.3048780487805,64.60975609756098,1.2560975609756098,32.1219512195122,4.219512195121951,7.871951219512195,206.58536585365854,942.1158536585366,37.640243902439025,10.463414634146341,1603.3475609756097,4028.5304878048782,140.28658536585365,107.15853658536585,17.640243902439025,23.121951219512194,3176.481707317073,4545.59756097561,25007.884146341465,10004.932926829268,2731.1951219512193,291.7743902439024,11897.780487804877,36.573170731707314,24861.51219512195,7716.128048780488,4627.762195121952,5942.378048780488,3180.012195121951,312.1585365853659,191.95731707317074,405.7256097560976,63.11585365853659,962.8780487804878,21.524390243902438,618.2987804878048,15.646341463414634,521.109756097561,82.79268292682927,149.85365853658536,6.945121951219512,22901891.32926829,7161.6036585365855,222.82926829268294,11.835365853658537,58.09756097560975,256.5609756097561,37.079268292682926,0.5,1.6829268292682926,2.932926829268293,2.158536585365854,4.634146341463414,6.2317073170731705,2.4207317073170733,0.6219512195121951,0.5792682926829268,4861.463414634146,1674.939024390244,386.7012195121951,454.7987804878049,3.475609756097561,11.963414634146341,6536.40243902439,841.5,15.439024390243903,127923.0
31031,Itabira,4084.0434782608695,6.260869565217392,104.43478260869566,81.65217391304348,0.9130434782608695,6.260869565217392,1.9130434782608696,11.173913043478262,98.3913043478261,536.9565217391304,14.826086956521738,23.82608695652174,428.7826086956522,1931.391304347826,54.52173913043478,43.43478260869565,15.956521739130435,29.73913043478261,1478.695652173913,2611.086956521739,13837.130434782608,4443.04347826087,1891.4347826086957,152.3913043478261,7336.086956521739,13.565217391304348,13795.91304347826,4088.5652173913045,2633.8695652173915,3669.304347826087,1710.9565217391305,162.0,123.78260869565217,133.30434782608697,33.95652173913044,629.5217391304348,12.347826086956522,272.30434782608694,3.9130434782608696,236.2608695652174,26.434782608695652,58.65217391304348,4.695652173913044,7696745.478260869,4488.739130434783,103.34782608695652,7.869565217391305,29.391304347826086,38.130434782608695,6.130434782608695,0.391304347826087,1.1304347826086956,4.086956521739131,1.565217391304348,3.608695652173913,6.217391304347826,4.434782608695652,0.30434782608695654,0.13043478260869565,1942.608695652174,1646.5652173913043,190.6086956521739,256.0869565217391,3.0434782608695654,18.73913043478261,3589.1739130434785,446.69565217391306,21.782608695652176,10535.0
31032,Itaguara,1288.375,2.0,82.5,37.25,0.75,1.125,0.0,1.75,23.25,231.375,5.5,7.25,80.625,741.25,18.75,7.5,4.0,4.125,450.625,840.125,4010.375,2260.625,343.25,43.875,1360.625,2.0,3990.75,1290.125,810.75,1047.125,433.875,52.125,25.375,34.125,11.25,124.0,2.125,73.75,0.75,59.625,11.375,14.625,1.75,2112764.0,1055.75,26.25,5.875,23.25,26.75,4.25,0.125,0.375,1.125,0.5,1.125,1.875,0.625,0.0,0.0,610.75,288.875,191.125,163.125,0.625,10.125,899.625,354.25,10.75,834.0
31033,Ouro Preto,6410.0,7.571428571428571,429.2857142857143,95.14285714285714,1.4285714285714286,24.428571428571427,1.1428571428571428,25.0,136.0,1139.857142857143,33.0,19.0,506.7142857142857,3714.5714285714284,118.57142857142857,86.0,18.857142857142858,70.71428571428571,2416.5714285714284,3988.1428571428573,21918.14285714286,7798.714285714285,3110.1428571428573,408.57142857142856,10499.142857142857,45.714285714285715,21763.428571428572,6399.0,4022.0,5703.285714285715,2736.1428571428573,278.2857142857143,191.0,243.85714285714286,46.57142857142857,997.7142857142857,19.428571428571427,501.42857142857144,7.142857142857143,390.85714285714283,42.57142857142857,166.0,3.4285714285714284,13217629.285714285,3580.8571428571427,148.71428571428572,15.571428571428571,60.285714285714285,132.14285714285714,29.285714285714285,1.1428571428571428,2.4285714285714284,5.714285714285714,3.4285714285714284,3.857142857142857,6.857142857142857,5.0,0.8571428571428571,0.2857142857142857,3797.714285714286,1371.5714285714287,669.1428571428571,523.8571428571429,4.857142857142857,11.857142857142858,5169.285714285715,1193.0,16.714285714285715,5995.0
31034,Conselheiro Lafaiete,2044.0,2.5,132.25,43.0,0.625,6.625,0.125,4.25,65.375,310.875,5.625,8.25,229.625,985.375,17.625,15.625,6.625,11.5,661.75,1384.375,6739.5,3280.625,580.5,81.0,2793.5,3.875,6717.125,2045.625,1364.625,1818.625,741.625,82.375,51.875,65.375,18.25,236.375,4.5,124.5,1.875,114.25,15.0,31.375,1.625,4297081.0,1500.5,60.625,4.375,21.125,30.5,8.75,0.25,1.0,1.625,1.25,1.875,2.5,1.625,0.0,0.0,1504.75,278.0,109.125,134.5,2.875,9.0,1782.75,243.625,11.875,1629.0
31035,Guanhães,1569.7142857142858,9.357142857142858,330.7857142857143,100.78571428571429,2.0714285714285716,9.714285714285714,0.5714285714285714,8.642857142857142,18.357142857142858,267.92857142857144,7.571428571428571,7.928571428571429,71.0,926.6428571428571,24.928571428571427,17.642857142857142,26.5,22.642857142857142,638.6428571428571,935.4285714285714,5338.214285714285,1528.2857142857142,492.2857142857143,65.5,3246.785714285714,4.642857142857143,5314.142857142857,1572.5,948.1428571428571,1367.5,733.9285714285714,73.14285714285714,36.785714285714285,54.357142857142854,13.857142857142858,260.2142857142857,5.357142857142857,97.14285714285714,2.2142857142857144,97.78571428571429,10.785714285714286,37.714285714285715,3.0,2215377.0714285714,1980.142857142857,59.785714285714285,6.571428571428571,48.285714285714285,26.785714285714285,3.7857142857142856,0.6428571428571429,3.5,7.214285714285714,4.142857142857143,6.785714285714286,9.142857142857142,7.142857142857143,0.7857142857142857,1.2857142857142858,470.35714285714283,676.4285714285714,137.21428571428572,249.5,3.0714285714285716,13.785714285714286,1146.7857142857142,386.7142857142857,16.857142857142858,2525.0
31036,Peçanha,1354.25,14.75,143.625,208.5,2.375,26.5,1.25,10.75,8.0,225.5,7.75,24.75,31.25,719.625,28.875,9.375,43.75,26.25,602.875,753.125,4574.75,1170.0,308.75,29.0,3054.25,1.5,4523.125,1353.875,787.0,1099.5,658.75,73.0,30.125,59.875,11.875,212.625,5.75,94.125,2.875,75.75,11.75,37.625,2.75,1719332.125,1679.0,29.25,11.375,60.125,31.625,6.75,2.625,8.75,13.125,8.375,13.125,14.625,9.25,0.75,1.5,351.25,495.375,169.375,296.0,14.875,16.5,846.625,465.375,31.375,1054.0
31037,Governador Valadares,3104.285714285714,12.028571428571428,256.51428571428573,109.82857142857142,1.0,18.65714285714286,1.2571428571428571,10.514285714285714,59.0,612.2857142857143,16.114285714285714,7.428571428571429,246.42857142857142,2357.7428571428572,55.77142857142857,33.714285714285715,34.371428571428574,29.2,1267.7142857142858,1830.142857142857,10016.0,3235.0,944.8,125.11428571428571,5646.085714285714,13.17142857142857,9921.8,3093.1714285714284,1873.9714285714285,2209.6,1289.4857142857143,180.9142857142857,79.25714285714285,128.5142857142857,29.085714285714285,542.0,16.571428571428573,180.45714285714286,6.2,198.77142857142857,20.571428571428573,60.885714285714286,4.171428571428572,5302649.6,3835.5142857142855,133.25714285714287,6.057142857142857,58.74285714285714,41.457142857142856,10.628571428571428,0.37142857142857144,2.942857142857143,6.6,3.4,8.628571428571428,11.0,3.8857142857142857,0.45714285714285713,0.45714285714285713,1191.9142857142858,1493.8857142857144,97.48571428571428,241.8,0.9714285714285714,6.428571428571429,2685.8,339.2857142857143,7.4,13592.0
31038,Mantena,1850.2857142857142,6.0,127.0,59.57142857142857,0.2857142857142857,8.428571428571429,1.0,10.571428571428571,41.0,387.2857142857143,9.714285714285714,3.4285714285714284,137.57142857142858,1200.0,30.428571428571427,35.857142857142854,17.714285714285715,26.714285714285715,694.5714285714286,1156.5714285714287,5632.142857142857,1949.2857142857142,409.42857142857144,101.42857142857143,3161.714285714286,3.2857142857142856,5586.428571428572,1850.2857142857142,1177.5714285714287,1227.4285714285713,620.0,104.85714285714286,33.42857142857143,78.28571428571429,18.571428571428573,278.14285714285717,5.857142857142857,70.28571428571429,3.857142857142857,86.42857142857143,15.571428571428571,17.714285714285715,2.4285714285714284,2521531.1428571427,2067.1428571428573,74.0,11.285714285714286,87.28571428571429,8.0,2.142857142857143,0.5714285714285714,2.857142857142857,4.0,2.857142857142857,5.142857142857143,5.857142857142857,1.2857142857142858,0.14285714285714285,0.0,996.7142857142857,587.2857142857143,144.0,106.28571428571429,1.7142857142857142,4.142857142857143,1584.0,250.28571428571428,5.857142857142857,1138.0
31039,Ipatinga,4580.115384615385,6.8076923076923075,52.88461538461539,79.1923076923077,0.9615384615384616,12.23076923076923,2.1923076923076925,7.153846153846154,75.5,748.9615384615385,15.692307692307692,8.346153846153847,346.8076923076923,3326.0,65.23076923076923,54.80769230769231,19.26923076923077,18.692307692307693,1472.5384615384614,3102.576923076923,15177.5,5791.115384615385,1505.9615384615386,169.96153846153845,7634.846153846154,21.96153846153846,15077.384615384615,4570.192307692308,3162.8076923076924,4035.0,1571.3846153846155,205.69230769230768,129.73076923076923,141.57692307692307,48.26923076923077,594.0769230769231,10.423076923076923,235.5,4.884615384615385,249.26923076923077,27.884615384615383,83.61538461538461,6.1923076923076925,9561966.23076923,6101.076923076923,141.42307692307693,10.153846153846153,51.73076923076923,62.61538461538461,13.115384615384615,0.3076923076923077,2.1153846153846154,3.6153846153846154,2.1538461538461537,2.9615384615384617,6.576923076923077,0.8461538461538461,0.46153846153846156,1.0384615384615385,2708.3846153846152,1086.1153846153845,391.7307692307692,292.46153846153845,2.6923076923076925,11.346153846153847,3794.5,684.1923076923077,14.038461538461538,13679.0
31040,Caratinga,1869.4444444444443,5.222222222222222,131.44444444444446,84.5,1.2777777777777777,15.722222222222221,0.6666666666666666,6.944444444444445,23.61111111111111,344.0,8.777777777777779,16.444444444444443,85.72222222222223,1215.388888888889,29.555555555555557,15.277777777777779,12.666666666666666,18.11111111111111,619.0,1253.0,6000.222222222223,2191.0555555555557,399.27777777777777,47.5,3358.722222222222,3.5,5955.611111111111,1871.7777777777778,1247.111111111111,1553.388888888889,644.6111111111111,105.33333333333333,36.27777777777778,50.27777777777778,16.333333333333332,255.94444444444446,4.888888888888889,72.0,2.1666666666666665,71.55555555555556,9.88888888888889,15.38888888888889,2.388888888888889,2218825.388888889,2036.6666666666667,79.27777777777777,6.666666666666667,78.66666666666667,45.833333333333336,11.666666666666666,0.5555555555555556,2.6666666666666665,3.3333333333333335,3.111111111111111,3.9444444444444446,5.166666666666667,1.3888888888888888,0.2777777777777778,0.5555555555555556,478.3333333333333,817.5555555555555,220.72222222222223,321.27777777777777,7.555555555555555,20.22222222222222,1295.888888888889,542.0,27.77777777777778,2855.0
31041,Aimorés,2360.4545454545455,5.181818181818182,176.9090909090909,106.45454545454545,0.9090909090909091,6.818181818181818,0.7272727272727273,7.7272727272727275,49.45454545454545,487.3636363636364,11.909090909090908,8.363636363636363,163.72727272727272,1594.909090909091,40.27272727272727,25.09090909090909,10.181818181818182,20.636363636363637,875.5454545454545,1487.8181818181818,7047.909090909091,2876.3636363636365,447.1818181818182,51.63636363636363,3658.4545454545455,12.181818181818182,7004.818181818182,2362.6363636363635,1484.7272727272727,1525.909090909091,774.9090909090909,136.9090909090909,48.36363636363637,86.54545454545455,28.727272727272727,309.45454545454544,9.0,91.45454545454545,4.454545454545454,96.0,16.636363636363637,29.09090909090909,2.8181818181818183,3164751.6363636362,2282.090909090909,96.36363636363636,9.818181818181818,108.54545454545455,26.454545454545453,6.2727272727272725,0.2727272727272727,1.7272727272727273,3.3636363636363638,1.9090909090909092,3.5454545454545454,5.090909090909091,1.6363636363636365,0.18181818181818182,0.0,719.9090909090909,1205.0,91.0909090909091,316.8181818181818,2.0,8.818181818181818,1924.909090909091,407.90909090909093,10.818181818181818,2584.0
